xValue,yValue
10/30/1996,195
3/7/1990,259
11/19/1986,862
10/28/1999,17
10/21/1993,82
2/18/1994,908
1/6/1986,89
7/16/2014,300
8/8/2018,284
6/30/2016,408
10/6/1987,921
3/14/2009,284
10/27/1986,1
3/8/2006,625
8/24/2010,241
3/26/1990,771
5/25/2014,5
5/14/1991,508
2/25/1980,342
9/15/1998,981
1/7/1995,888
7/26/1996,910
10/13/2012,508
7/25/2005,119
3/6/2011,384
4/14/2010,148
1/14/1997,749
5/28/2016,179
9/6/1999,939
9/1/2003,477
11/18/1992,964
3/25/2001,339
8/14/1991,212
2/26/2000,99
11/3/1987,767
5/16/1980,527
6/28/1995,240
3/11/2009,208
8/10/1990,951
10/12/1981,543
7/6/2007,968
12/7/2004,502
10/8/1990,28
5/19/1995,517
4/11/1997,165
6/23/1980,814
5/28/1991,819
11/2/2006,498
11/17/2002,645
3/22/1985,372
7/26/2002,350
9/12/1996,226
6/1/1998,435
7/6/1983,992
8/22/1981,8
12/11/1991,82
2/24/1984,818
1/5/2007,256
12/12/1998,114
2/8/2007,586
10/22/2005,292
5/2/2017,589
6/10/2018,621
4/11/2015,673
11/23/2012,669
9/20/2015,942
5/18/2005,597
6/19/2008,567
7/24/2005,999
7/10/1983,678
7/5/1980,130
7/9/1997,452
10/26/2010,713
6/6/1984,333
11/7/1995,830
1/31/2017,438
2/19/2008,978
10/7/2009,218
4/28/2002,803
6/16/1985,816
1/27/1982,637
12/16/2002,740
11/7/2015,710
1/31/1991,821
11/11/2013,975
3/28/1999,409
3/4/2011,600
4/3/2010,817
11/12/2000,716
4/20/1986,10
9/2/2003,816
1/14/1995,568
12/21/2017,599
7/4/1986,402
1/6/1980,266
10/24/2013,687
7/29/1996,793
10/13/2000,204
6/9/2007,153
1/28/2015,860
11/12/2004,193
5/24/2002,812
5/19/2013,1
12/10/2002,180
5/19/1992,799
4/25/1991,160
7/12/1993,388
9/13/2009,739
1/24/2009,846
4/11/1980,745
12/2/2008,116
8/14/1987,455
6/21/2003,460
9/6/1993,775
4/9/2008,884
10/14/2010,904
